don_number,gender,MN,M,N,HE+-,He+,Ss,S,s,Cw+-,Cw,Cc,C,c,Ee,E,e
HGDP00009,M,MN,1,1,-,0,Ss,1,1,-,0,cc,0,1,EE,1,0
HGDP00011,M,MM,1,0,-,0,s,0,1,-,0,cc,0,1,e.e,0,1
HGDP00029,M,MM,1,0,-,0,Ss,1,1,-,0,C.c,1,1,e.e,0,1
HGDP00037,M,MM,1,0,-,0,SS,1,0,-,0,C.c,1,1,E e,1,1
HGDP00045,M,NN,0,1,-,0,s,0,1,Cw,1,C.C.,1,0,e.e,0,1
HGDP00056,M,MM,1,0,-,0,SS,1,0,-,0,C.C.,1,0,e.e,0,1
HGDP00060,M,MN,1,1,-,0,s,0,1,-,0,cc,0,1,e.e,0,1
HGDP00070,M,MM,1,0,-,0,Ss,1,1,-,0,cc,0,1,e.e,0,1
HGDP00074,M,MN,1,1,-,0,Ss,1,1,-,0,C.c,1,1,e.e,0,1
HGDP00090,M,MM,1,0,-,0,SS,1,0,-,0,cc,0,1,E e,1,1
HGDP00096,M,MM,1,0,-,0,s,0,1,-,0,C.C.,1,0,e.e,0,1
HGDP00102,M,MN,1,1,-,0,Ss,1,1,-,0,cc,0,1,EE,1,0
HGDP00103,M,MN,1,1,-,0,s,0,1,Cw,1,C.C.,1,0,e.e,0,1
HGDP00105,M,MM,1,0,-,0,SS,1,0,-,0,cc,0,1,E e,1,1
HGDP00108,M,MN,1,1,-,0,Ss,1,1,-,0,C.c,1,1,E e,1,1
HGDP00111,M,MM,1,0,-,0,Ss,1,1,-,0,C.c,1,1,E e,1,1
HGDP00121,M,NN,0,1,-,0,s,0,1,-,0,C.c,1,1,E e,1,1
HGDP00130,M,NN,0,1,-,0,s,0,1,-,0,C.c,1,1,E e,1,1
HGDP00134,M,MN,1,1,-,0,s,0,1,-,0,cc,0,1,E e,1,1
HGDP00135,M,MN,1,1,-,0,s,0,1,-,0,cc,0,1,EE,1,0
HGDP00140,M,MM,1,0,-,0,SS,1,0,-,0,cc,0,1,E e,1,1
HGDP00144,M,MM,1,0,-,0,Ss,1,1,-,0,C.C.,1,0,e.e,0,1
HGDP00146,M,MM,1,0,-,0,Ss,1,1,-,0,C.C.,1,0,e.e,0,1
HGDP00148,M,MN,1,1,He+,1,SS,1,0,-,0,C.c,1,1,E e,1,1
HGDP00151,W,MM,1,0,-,0,Ss,1,1,-,0,cc,0,1,E e,1,1
HGDP00153,W,MN,1,1,-,0,s,0,1,-,0,C.c,1,1,E e,1,1
