sample_id	center_code	HGDP
HGDP00009	HGDP00009	1
HGDP00011	HGDP00011	1
HGDP00029	HGDP00029	1
HGDP00037	HGDP00037	1
HGDP00045	HGDP00045	1
HGDP00056	HGDP00056	1
HGDP00060	HGDP00060	1
HGDP00070	HGDP00070	1
HGDP00074	HGDP00074	1
HGDP00090	HGDP00090	1
HGDP00096	HGDP00096	1
HGDP00102	HGDP00102	1
HGDP00103	HGDP00103	1
HGDP00105	HGDP00105	1
HGDP00108	HGDP00108	1
HGDP00111	HGDP00111	1
HGDP00121	HGDP00121	1
HGDP00130	HGDP00130	1
HGDP00134	HGDP00134	1
HGDP00135	HGDP00135	1
HGDP00140	HGDP00140	1
HGDP00144	HGDP00144	1
HGDP00146	HGDP00146	1
HGDP00148	HGDP00148	1
HGDP00151	HGDP00151	1
HGDP00153	HGDP00153	1
HGDP00157	HGDP00157	1
HGDP00158	HGDP00158	1
HGDP00160	HGDP00160	1
HGDP00175	HGDP00175	1
HGDP00177	HGDP00177	1
HGDP00179	HGDP00179	1
HGDP00187	HGDP00187	1
HGDP00197	HGDP00197	1
HGDP00208	HGDP00208	1
HGDP00220	HGDP00220	1
HGDP00222	HGDP00222	1
HGDP00226	HGDP00226	1
HGDP00232	HGDP00232	1
HGDP00237	HGDP00237	1
HGDP00244	HGDP00244	1
HGDP00254	HGDP00254	1
HGDP00285	HGDP00285	1
HGDP00292	HGDP00292	1
HGDP00304	HGDP00304	1
HGDP00307	HGDP00307	1
HGDP00309	HGDP00309	1
HGDP00311	HGDP00311	1
HGDP00321	HGDP00321	1
HGDP00382	HGDP00382	1
HGDP00448	HGDP00448	1
HGDP00449	HGDP00449	1
HGDP00450	HGDP00450	1
HGDP00452	HGDP00452	1
HGDP00454	HGDP00454	1
HGDP00455	HGDP00455	1
HGDP00456	HGDP00456	1
HGDP00457	HGDP00457	1
HGDP00458	HGDP00458	1
HGDP00460	HGDP00460	1
HGDP00462	HGDP00462	1
HGDP00465	HGDP00465	1
HGDP00466	HGDP00466	1
HGDP00469	HGDP00469	1
